               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10412,            0.026186,                   0,           0.0025253,             0.74627,           0.0086093,           0.0016006,            0.076972,            0.015233,                   0,              0.0712,              0.0032,              0.0032
                   1,            0.078646,            0.020083,                   0,             0.64866,             0.29851,             0.39401,             0.10621,             0.06177,            0.011415,                   0,            0.041414,           0.0064142,           0.0064142
                   2,             0.06953,            0.018801,                   0,            0.067745,             0.25373,             0.06669,            0.016124,            0.083582,           0.0081716,                   0,            0.011541,           0.0095413,           0.0095413
                   3,            0.060739,            0.018577,                   0,             0.72016,             0.79851,             0.78793,             0.30315,            0.051672,           0.0085165,                   0,            0.009604,            0.009604,            0.009604
                   4,            0.052715,            0.016756,                   0,             0.81294,             0.72388,             0.82914,             0.27928,            0.050918,           0.0066814,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.049461,            0.014355,                   0,             0.80268,             0.82836,             0.87403,             0.32899,            0.049023,           0.0059095,                   0,            0.009472,            0.009472,            0.009472
                   6,            0.047112,            0.012841,                   0,             0.80039,             0.78358,             0.85945,             0.37512,            0.039306,           0.0056427,                   0,             0.00934,             0.00934,             0.00934
                   7,            0.044693,            0.011639,                   0,             0.97444,             0.93284,             0.98304,              0.4966,            0.034728,           0.0052852,                   0,            0.009208,            0.009208,            0.009208
                   8,            0.042357,            0.010967,                   0,             0.85851,             0.91791,             0.90902,             0.44827,            0.037351,           0.0051015,                   0,            0.009076,            0.009076,            0.009076
                   9,            0.040267,            0.010081,                   0,             0.94746,             0.94205,              0.9727,             0.48694,            0.034124,           0.0047859,                   0,            0.008944,            0.008944,            0.008944
                  10,            0.038829,            0.010092,                   0,             0.97371,             0.95522,             0.97601,              0.5456,            0.030099,           0.0046169,                   0,            0.008812,            0.008812,            0.008812
                  11,            0.037478,           0.0097562,                   0,             0.97758,             0.97603,             0.99272,             0.56723,            0.030373,           0.0044794,                   0,             0.00868,             0.00868,             0.00868
                  12,            0.036846,           0.0093455,                   0,             0.96974,             0.95659,               0.984,             0.48171,             0.03534,           0.0044193,                   0,            0.008548,            0.008548,            0.008548
                  13,            0.036814,           0.0086965,                   0,             0.96762,             0.97015,             0.99066,             0.57966,            0.029606,           0.0043255,                   0,            0.008416,            0.008416,            0.008416
                  14,            0.036704,           0.0088726,                   0,             0.92689,             0.97761,             0.97389,             0.54865,            0.030275,            0.004329,                   0,            0.008284,            0.008284,            0.008284
                  15,            0.036343,            0.009242,                   0,             0.97743,             0.96948,             0.98965,             0.54895,            0.030677,            0.004367,                   0,            0.008152,            0.008152,            0.008152
                  16,            0.033763,           0.0086138,                   0,             0.98467,             0.95877,             0.98838,             0.55888,            0.030143,           0.0043036,                   0,             0.00802,             0.00802,             0.00802
                  17,             0.03359,           0.0083908,                   0,             0.98723,             0.97015,             0.99367,             0.60532,            0.027101,           0.0041847,                   0,            0.007888,            0.007888,            0.007888
                  18,            0.033297,           0.0079254,                   0,             0.96919,             0.97761,             0.99139,             0.62194,            0.027042,           0.0042969,                   0,            0.007756,            0.007756,            0.007756
                  19,            0.033915,           0.0082551,                   0,             0.99229,              0.9609,             0.99124,             0.55523,            0.032627,           0.0042595,                   0,            0.007624,            0.007624,            0.007624
                  20,            0.032621,            0.007974,                   0,             0.97999,             0.98507,             0.98808,             0.52884,            0.032554,           0.0042228,                   0,            0.007492,            0.007492,            0.007492
                  21,            0.032075,           0.0075734,                   0,             0.96445,             0.96269,             0.99239,             0.52976,             0.03343,           0.0042672,                   0,             0.00736,             0.00736,             0.00736
                  22,            0.031646,           0.0082851,                   0,             0.97765,             0.97925,             0.99231,             0.59058,            0.028063,           0.0042223,                   0,            0.007228,            0.007228,            0.007228
                  23,            0.031602,           0.0079656,                   0,             0.97573,             0.96269,             0.99216,             0.58401,             0.02994,           0.0042503,                   0,            0.007096,            0.007096,            0.007096
                  24,            0.030002,           0.0075912,                   0,             0.97011,             0.96893,             0.98779,             0.57065,            0.029657,           0.0041686,                   0,            0.006964,            0.006964,            0.006964
                  25,            0.030094,           0.0077739,                   0,             0.96871,             0.99254,             0.98583,              0.5832,            0.029985,            0.004112,                   0,            0.006832,            0.006832,            0.006832
                  26,            0.030331,           0.0072152,                   0,             0.96982,             0.95936,             0.98159,             0.56641,            0.028259,           0.0041235,                   0,              0.0067,              0.0067,              0.0067
                  27,            0.028768,           0.0075355,                   0,              0.9762,             0.97015,             0.98173,             0.58498,            0.027543,           0.0040694,                   0,            0.006568,            0.006568,            0.006568
                  28,            0.029303,           0.0073404,                   0,             0.96753,             0.98507,              0.9791,             0.54602,            0.033571,           0.0041885,                   0,            0.006436,            0.006436,            0.006436
                  29,            0.029722,           0.0073397,                   0,             0.96048,             0.99254,             0.98904,             0.61419,            0.027326,           0.0042046,                   0,            0.006304,            0.006304,            0.006304
                  30,            0.028781,           0.0071158,                   0,              0.9617,             0.97761,             0.98687,             0.61008,            0.027481,             0.00419,                   0,            0.006172,            0.006172,            0.006172
                  31,            0.028011,           0.0072865,                   0,             0.96341,             0.95522,             0.98469,             0.58509,            0.029199,           0.0041825,                   0,             0.00604,             0.00604,             0.00604
                  32,            0.028257,           0.0073123,                   0,             0.97774,             0.98328,             0.99054,             0.57173,            0.030534,           0.0040772,                   0,            0.005908,            0.005908,            0.005908
                  33,            0.028598,           0.0072891,                   0,             0.96956,             0.98507,             0.99058,             0.60571,            0.027097,           0.0040101,                   0,            0.005776,            0.005776,            0.005776
                  34,            0.025947,           0.0070991,                   0,             0.96924,             0.99254,             0.98983,              0.6056,            0.027649,           0.0040994,                   0,            0.005644,            0.005644,            0.005644
                  35,            0.026537,           0.0072552,                   0,             0.97768,             0.98089,             0.99044,             0.61712,            0.026242,           0.0039136,                   0,            0.005512,            0.005512,            0.005512
                  36,            0.025545,           0.0070462,                   0,             0.97065,             0.98724,             0.98613,             0.57613,              0.0292,           0.0040542,                   0,             0.00538,             0.00538,             0.00538
                  37,            0.026003,           0.0069001,                   0,             0.96352,             0.98551,             0.98506,             0.60261,              0.0272,           0.0040883,                   0,            0.005248,            0.005248,            0.005248
                  38,            0.024831,           0.0072621,                   0,             0.96488,             0.97015,             0.98379,             0.59861,            0.027671,           0.0040543,                   0,            0.005116,            0.005116,            0.005116
                  39,            0.025264,           0.0070497,                   0,              0.9633,             0.97761,             0.98908,             0.61787,            0.026873,           0.0040179,                   0,            0.004984,            0.004984,            0.004984
                  40,            0.025628,           0.0070556,                   0,             0.97553,             0.97761,              0.9895,             0.58952,            0.027122,           0.0039465,                   0,            0.004852,            0.004852,            0.004852
                  41,            0.025475,           0.0068708,                   0,             0.97475,             0.98507,             0.98906,             0.63382,            0.025513,           0.0039445,                   0,             0.00472,             0.00472,             0.00472
                  42,            0.024162,           0.0064469,                   0,             0.97304,             0.99254,             0.98561,             0.62778,             0.02613,           0.0040484,                   0,            0.004588,            0.004588,            0.004588
